5193.27,[Ar III] 5192
5199.447,[N I] 5198
5201.705,[N I] 5200
5272.367,[Fe III] 5270.90A
5325.481,[Cl IV] 5324
5519.242,[Cl III] 5518
5539.411,[Cl III] 5538
5578.89,[O I] 5577
5680.576,[Fe IV] 5679
5756.19,[N II] 5755
5829.616,[Cr III] 5828
5877.249,He I 5875.61A
5893.573,Na I 5891.94A
6302.046,[O I] 6300
6313.81,[S III] 6312
6365.535,[O I] 6363
6549.86,[N II] 6548
6564.6,H-alpha 6563
6578.817,[Cr 5] 6577
6585.27,[N II] 6584
6679.995,He I 6678.15A
6718.294,[S II] 6716
6721.855,x[S II] 6720
6732.673,[S II] 6731
6802.877,[Cr IV] 6801
7067.138,He I 7065.18A
7137.77,[Ar III] 7135
7172.977,[Ar IV] 7171
7238.994,[Ar IV] 7237
7265.001,[Ar IV] 7263
7269.002,[Cr IV] 7267
7283.356,He I 7281.35A
7308.013,[Ca II] 7306
7321.94,[O II] 7323
7332.21,[O II] 7332
7534.074,[Cl IV] 7532
7753.19,[Ar III] 7751
7775.139,O I 7773
7951.687,O I 7949
7981.195,[Cr 5] 7979
8049.213,[Cl IV] 8047
8364.028,He I 8361.73A
8581.06,[Cl II] 8579
8619.317,[Fe II] 8616.95A
9017.8,Pa-7 9015
9071.1,[S III] 9069
9126.1,[Cl II] 9124
9232.2,Pa-6 9229
9266.542,O I 9264
9466.166,He I 9463.57A
9533.2,[S III] 9532
9548.8,Pa-5 9546
9606.074,He I 9603.44A
9852.96,[C I] 9850
9905.715,[C II] 9903
10052.6,Pa-delta 1.00494m
10126.975,He II 1.01242m
10291.82,[S II] 1.02890m
10314.126,He I 1.03113m
10325.829,[S II] 1.03230m
10323.32,[S II] 1.03300m
10341.833,[S II] 1.03390m
10375.843,[S II] 1.03730m
10670.723,He I 1.06678m
10832.066,He I 1.08291m
10832.057,He I 1.08299m
10833.306,He I 1.08303m
10915.989,He I 1.09130m
10920.09,He I 1.09171m
10941.17,Pa-gamma 1.09381m
10999.612,He I 1.09966m
11016.116,He I 1.10131m
11048.025,He I 1.10450m
11473.14,P II 1.14700m
11893.254,P II 1.18900m
11972.476,He I 1.19692m
12530.827,He I 1.25274m
12570.21,Fe II 1.25668m
12788.397,He I 1.27849m
12793.999,He I 1.27905m
12821.578,Pa-beta 1.28181m
12849.614,He I 1.28461m
12971.947,He I 1.29684m
12988.452,He I 1.29849m
13209.111,Fe II 1.32055m
13415.368,He I 1.34117m
13721.851,Fe II 1.37181m
15087.822,He I 1.50837m
16404.48,P II 1.64000m
16439.99,Fe II 1.64355m
17007.344,He I 1.70027m
17366.885,Br-6 1.73621m
18098.941,Fe II 1.80940m
18179.2,Br-5 1.81741m
18690.502,He I 1.86854m
18702.305,He I 1.86972m
18756.4,Pa-alpha 1.87511m
19094.612,He I 1.90894m
19450.89,Br-delta 1.94456m
19548.335,He I 1.95430m
20586.918,He I 2.05813m
21123.764,He I 2.11180m
21136.067,He I 2.11303m
21661.178,Br-gamma 2.16553m
24734.147,He I 2.47274m
26192.144,He I 2.61850m
26205.648,He I 2.61985m
26240.957,He I 2.62338m
26258.71,Br-beta 2.62515m
30392.02,Pf-5 3.03837m
32969.8,Pf-delta 3.29609m
37036.097,He I 3.70260m
37405.76,Pf-gamma 3.73953m
37510.227,Cr 5 3.75000m
40377.408,He I 4.03664m
40409.316,He I 4.03983m
40490.138,He I 4.04791m
40490.338,He I 4.04793m
40522.79,Br-alpha 4.05116m
42957.611,He I 4.29459m
46212.597,K III 4.62000m
46537.8,Pf-beta 4.65250m
51286.5,Hu-delta 5.12725m
53401.656,Fe II 5.33871m
59082.2,Hu-gamma 5.90659m
59816.304,K IV 5.98000m
69852.74,Ar II 6.98000m
73219.956,Na III 7.32000m
74537.715,He I 7.45174m
74561.422,He I 7.45411m
74561.522,He I 7.45412m
74599.0,Pf-alpha 7.45781m
75024.4,Hu-beta 7.50043m
87600.375,H I 8.75765m
89913.8,Ar III 9.00000m
105105.0,[S IV] 10.5100m
113086.82,H I 11.3056m
117031.895,Cl IV 11.7000m
123719.12,Hu-alpha 12.3685m
128135.48,Ne II 12.8100m
143678.0,Cl II 14.4000m
155551.0,Ne III 15.5500m
162090.175,H I 16.2046m
178898.755,P III 17.8850m
179358.881,Fe II 17.9310m
187130.0,S III 18.6700m
190617.949,H I 19.0566m
204055.611,Cl IV 20.4000m
218302.0,Ar III 21.8300m
229253.478,[Fe III] 22.9191m
245192.822,Fe II 24.5126m
258870.549,O IV 25.8800m
259882.825,Fe II 25.9812m
278032.771,H I 27.7957m
328709.0,P II 32.8700m
330361.032,[Fe III] 33.0271m
333090.776,Cl II 33.3000m
334800.0,S III 33.4700m
348140.0,Si II 34.8140m
353486.334,Fe II 35.3390m
360135.0,Ne III 36.0140m
388696.93,H I 38.8591m
513004.807,Fe II 51.2865m
516796.84,[Fe III] 51.6656m
518145.0,O III 51.8000m
573300.0,N III 57.2100m
606420.0,P II 60.6400m
631852.0,O I 63.1700m
883564.0,O III 88.3300m
1218000.0,N II 121.700m
1455350.0,O I 145.530m
1576429.62,C II 157.600m
2053000.0,N II 205.400m
