S II 1.03730m
He 1 1.06678m
He 1 1.08291m
He 1 1.08299m
He 1 1.08303m
He 1 1.09130m
He 1 1.09171m
H  1 1.09381m
He 1 1.09966m
He 1 1.10131m
He 1 1.10450m
P  2 1.14700m
P  2 1.18900m
He 1 1.19692m
He 1 1.25274m
Fe 2 1.25668m
He 1 1.27849m
He 1 1.27905m
H  1 1.28181m
He 1 1.28461m
He 1 1.29684m
He 1 1.29849m
Fe 2 1.32055m
He 1 1.34117m
Fe 2 1.37181m
He 1 1.50837m
P  2 1.64000m
Fe 2 1.64355m
He 1 1.70027m
H  1 1.73621m
Fe 2 1.80940m
H  1 1.81741m
He 1 1.86854m
He 1 1.86972m
H  1 1.87511m
He 1 1.90894m
H  1 1.94456m
He 1 1.95430m
He 1 2.05813m
He 1 2.11180m
He 1 2.11303m
H  1 2.16553m
He 1 2.47274m
He 1 2.61850m
He 1 2.61985m
He 1 2.62338m
H  1 2.62515m
H  1 3.03837m
H  1 3.29609m
He 1 3.70260m
H  1 3.73953m
Cr 5 3.75000m
He 1 4.03664m
He 1 4.03983m
He 1 4.04791m
He 1 4.04793m
H  1 4.05116m
He 1 4.29459m
K  3 4.62000m
H  1 4.65250m
H  1 5.12725m
Fe 2 5.33871m
H  1 5.90659m
K  4 5.98000m
Ar 2 6.98000m
Na 3 7.32000m
He 1 7.45174m
He 1 7.45411m
He 1 7.45412m
H  1 7.45781m
H  1 7.50043m
H  1 8.75765m
Ar 3 9.00000m
S  4 10.5100m
H  1 11.3056m
Cl 4 11.7000m
H  1 12.3685m
Ne 2 12.8100m
Cl 2 14.4000m
Ne 3 15.5500m
H  1 16.2046m
P  3 17.8850m
Fe 2 17.9310m
S  3 18.6700m
H  1 19.0566m
Cl 4 20.4000m
Ar 3 21.8300m
Fe 3 22.9191m
Fe 2 24.5126m
O  4 25.8800m
Fe 2 25.9812m
H  1 27.7957m
P  2 32.8700m
Fe 3 33.0271m
Cl 2 33.3000m
S  3 33.4700m
Si 2 34.8140m
Fe 2 35.3390m
Ne 3 36.0140m
H  1 38.8591m
Fe 2 51.2865m
Fe 3 51.6656m
O  3 51.8000m
N  3 57.2100m
P  2 60.6400m
O  1 63.1700m
O  3 88.3300m
N  2 121.700m
O  1 145.530m
C  2 157.600m
N  2 205.400m
